id,athlete_count,star_count,created_at,effort_count,distance,total_elevation_gain
18999118,18579,32,2018-10-01T17:58:07Z,297031,1725.8,12.2
11795740,25810,21,2016-04-12T07:35:50Z,375022,998.8,15.2
9252629,23990,17,2015-04-13T19:03:40Z,356102,1084.6,0.0
7818354,15512,55,2014-08-05T11:04:06Z,259497,5134.2,126.0
3546668,580,173,2013-03-04T08:26:20Z,2995,723.28,99.914
12173675,13931,27,2016-05-24T13:40:45Z,289688,167.7,6.6
19878963,15675,7,2019-02-16T07:31:42Z,118417,348.8,10.6
9544406,24049,47,2015-05-22T12:19:37Z,326169,170.8,0.0
20193354,1796,2,2019-03-31T11:41:26Z,5254,344.9,18.0
15807938,2697,5,2017-08-22T06:24:29Z,11785,472.9,2.4
15810611,30275,27,2017-08-22T12:12:39Z,681802,385.2,2.6
19010565,15612,9,2018-10-03T08:07:19Z,355755,337.1,0.0
14515526,24732,50,2017-04-04T20:16:27Z,615323,538.8,3.0
1601313,11993,26,2012-06-20T19:08:09Z,314657,268.437,11.982
10245273,13887,18,2015-08-17T15:41:54Z,281266,363.8,0.0
23930569,6348,6,2020-05-11T08:10:23Z,82867,1770.6,5.6
21932794,17134,14,2019-09-29T18:04:07Z,186364,693.1,0.0
14496092,10233,10,2017-04-02T19:04:27Z,90260,1097.0,18.1
25658993,8298,4,2020-09-10T07:48:23Z,91003,542.2,7.2
12124724,9660,11,2016-05-19T06:47:24Z,87366,132.5,0.0
4190050,33775,82,2013-05-23T14:55:04Z,728319,497.8,0.0
21779484,904,4,2019-09-13T06:58:51Z,3392,423.3,2.2
15667587,1231,1,2017-08-08T07:03:47Z,12366,596.9,0.0
632847,12771,1908,2011-01-14T03:26:57Z,279803,1929.34,94.6
1942901,8395,3978,2012-08-02T06:49:42Z,116911,5589.18,375.4
660072,11006,3204,2011-05-31T14:42:32Z,394870,1845.7,122.1
21811307,11969,513,2019-09-16T12:56:45Z,218658,15742.8,186.6
673790,9045,1573,2011-07-02T19:24:03Z,105562,3794.67,260.0
25210876,24942,105,2020-08-06T20:59:02Z,675432,1473.8,0.0
20440368,9695,145,2019-04-28T12:26:23Z,137645,2187.0,84.0
2252795,9070,178,2012-08-29T19:07:24Z,119785,1891.44,0.0
655007,4513,534,2011-05-19T09:07:52Z,56039,2202.38,44.39
18530784,6056,109,2018-08-13T20:30:07Z,72316,2079.0,100.2
24145083,18660,12,2020-05-23T11:42:34Z,366466,305.2,0.0
1606824,21071,142,2012-06-21T17:35:31Z,606179,264.595,0.0
16116254,5139,9,2017-09-25T14:36:29Z,49405,444.9,0.0
15919321,4885,10,2017-09-02T16:08:49Z,44031,396.2,19.6
16750852,7345,8,2018-01-03T10:18:55Z,64566,473.6,23.2
7660021,22771,47,2014-07-16T12:10:55Z,834722,190.6,7.0
11598568,1478,2,2016-03-18T22:48:57Z,7244,203.1,11.1
5567025,119,1,2013-09-22T14:42:23Z,375,177.7,17.0
11411736,109,3,2016-02-19T08:20:30Z,271,758.0,22.2
18443117,26315,34,2018-08-05T17:58:18Z,808961,796.7,11.8
5195112,24429,39,2013-08-20T10:44:00Z,810340,273.7,11.2
15931519,4454,1,2017-09-03T19:53:11Z,69020,307.0,4.4
